time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-12T08:59:25.286Z,-24.1641,-176.1798,92.01,5.2,mb,,90,5.296,1.32,us,us70007npb,2020-02-12T09:15:18.040Z,"South of the Fiji Islands",earthquake,10.7,7.6,0.122,22,reviewed,us,us
2020-02-12T05:55:09.989Z,0.7902,98.9466,81.22,4.5,mb,,98,1.462,0.85,us,us70007nmd,2020-02-12T06:20:16.040Z,"73km SSW of Padangsidempuan, Indonesia",earthquake,7.3,7.8,0.127,18,reviewed,us,us
2020-02-12T00:43:19.540Z,52.6402,171.859,10,4.9,mb,,146,1.369,0.67,us,us70007njd,2020-02-12T01:02:31.040Z,"92km WSW of Attu Station, Alaska",earthquake,10.7,1.9,0.029,373,reviewed,us,us
2020-02-11T21:42:43.476Z,-20.9359,-70.7684,10,4.6,mwr,,139,0.899,1.25,us,us70007nev,2020-02-12T01:06:24.938Z,"102km SW of Iquique, Chile",earthquake,4,1.9,0.045,47,reviewed,us,us
2020-02-11T21:04:16.649Z,4.5291,83.4764,10,4.7,mb,,101,3.878,1.03,us,us70007ndd,2020-02-12T08:44:21.249Z,"North Indian Ocean",earthquake,8.9,1.8,0.082,45,reviewed,us,us
2020-02-11T19:14:33.203Z,37.8626,140.2131,105.36,4.5,mb,,116,2.049,1.41,us,us70007nac,2020-02-11T22:14:35.040Z,"10km SE of Yonezawa, Japan",earthquake,8,2.7,0.049,122,reviewed,us,us
2020-02-11T18:03:16.939Z,-23.3991,-179.5872,544,4.8,mb,,119,6.044,0.77,us,us70007n8h,2020-02-11T18:32:00.040Z,"South of the Fiji Islands",earthquake,10.1,12.7,0.167,11,reviewed,us,us
2020-02-11T17:52:46.065Z,17.6272,94.3198,38.29,4.6,mb,,57,4.042,0.51,us,us70007n83,2020-02-11T20:16:07.322Z,"103km NNW of Pathein, Burma",earthquake,7.9,6.3,0.088,44,reviewed,us,us
2020-02-11T15:15:47.127Z,-5.9891,150.2445,53.45,5.3,mww,,90,2.616,0.83,us,us70007n4a,2020-02-11T16:12:55.040Z,"49km SSE of Kimbe, Papua New Guinea",earthquake,8,7.1,0.08,15,reviewed,us,us
2020-02-11T13:50:02.417Z,-24.7746,-70.9102,34.38,5.2,mww,,108,0.483,0.47,us,us70007n2x,2020-02-11T22:39:29.015Z,"81km NNW of Taltal, Chile",earthquake,4.9,5.3,0.08,15,reviewed,us,us
2020-02-11T13:07:28.729Z,-52.3244,17.1051,10,5,mb,,45,20.115,0.76,us,us70007n2t,2020-02-11T14:13:24.040Z,"Southwest of Africa",earthquake,12.3,1.8,0.088,41,reviewed,us,us
2020-02-11T11:07:02.116Z,-25.1508,179.923,477.82,5.4,mww,,54,4.504,0.96,us,us70007n26,2020-02-11T13:08:39.016Z,"South of the Fiji Islands",earthquake,11.1,6.3,0.08,15,reviewed,us,us
2020-02-11T10:37:02.257Z,15.7807,147.8883,10,5.3,mb,,85,2.093,0.58,us,us70007n1x,2020-02-12T04:47:07.616Z,"237km ENE of Saipan, Northern Mariana Islands",earthquake,7,1.9,0.029,399,reviewed,us,us
2020-02-11T10:21:48.223Z,-22.4623,-174.3156,55.94,5.2,mb,,114,5.311,1.2,us,us70007n1t,2020-02-11T10:41:40.040Z,"141km SSE of `Ohonua, Tonga",earthquake,9,7.5,0.075,59,reviewed,us,us
