time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-12T12:59:18.000Z,19.1779995,-155.45784,33.51,2.47,md,24,209,0.08008,0.13,hv,hv71380187,2020-02-12T13:02:27.840Z,"3km SE of Pahala, Hawaii",earthquake,1.14,1.21,0.14,4,automatic,hv,hv
2020-02-12T12:56:02.390Z,35.8551667,-117.6938333,5.36,1.26,ml,17,74,0.07413,0.17,ci,ci39299408,2020-02-12T12:59:45.533Z,"21km ESE of Little Lake, CA",earthquake,0.31,1.02,0.123,17,automatic,ci,ci
2020-02-12T12:51:00.440Z,33.5063333,-116.5033333,12.02,1.18,ml,44,56,0.05602,0.22,ci,ci39299400,2020-02-12T13:01:52.900Z,"17km ESE of Anza, CA",earthquake,0.24,0.44,0.206,27,automatic,ci,ci
2020-02-12T12:39:18.790Z,33.1986667,-117.338,4.09,1.43,ml,19,255,0.3715,0.23,ci,ci39299384,2020-02-12T12:43:03.432Z,"2km SW of Oceanside, CA",earthquake,2.97,14.47,0.236,26,automatic,ci,ci
2020-02-12T12:35:33.753Z,61.3461,-150.0981,19.9,2.6,ml,,,,0.9,ak,ak0201zbgp6t,2020-02-12T13:04:15.040Z,"12km NNW of Anchorage, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-02-12T12:35:05.230Z,35.9738333,-117.7728333,6.94,1.11,ml,14,83,0.03046,0.09,ci,ci39299368,2020-02-12T12:38:46.906Z,"13km ENE of Little Lake, CA",earthquake,0.22,0.42,0.129,13,automatic,ci,ci
2020-02-12T12:33:37.880Z,35.8671667,-117.6948333,8.82,1.64,ml,23,48,0.08161,0.12,ci,ci39299360,2020-02-12T12:44:16.890Z,"21km ESE of Little Lake, CA",earthquake,0.21,0.54,0.238,26,automatic,ci,ci
2020-02-12T12:18:32.750Z,33.2545,-116.2618333,7.3,1.14,ml,36,72,0.06199,0.21,ci,ci39299352,2020-02-12T12:22:20.804Z,"10km E of Borrego Springs, CA",earthquake,0.29,0.66,0.152,27,automatic,ci,ci
2020-02-12T12:12:42.950Z,19.2093334,-155.4268341,32.54,2,md,35,152,0.03941,0.14,hv,hv71380117,2020-02-12T12:16:00.500Z,"5km E of Pahala, Hawaii",earthquake,0.62,1.06,0.06,5,automatic,hv,hv
2020-02-12T12:11:21.070Z,19.2228336,-155.4056702,32.3,2.13,md,36,159,0.01651,0.12,hv,hv71380112,2020-02-12T12:14:34.520Z,"8km ENE of Pahala, Hawaii",earthquake,0.61,0.69,0.19,9,automatic,hv,hv
